SiteID,Species,SnailID,datetest_1,datetest_2,early_death,time_1,dist_1,time_2,dist_2,food_1,food_2
2,Cornu_aspersum,2A_Co,2022-04-26,2022-05-03,FALSE,90,82,80,107.2,0.65,0.32
2,Cornu_aspersum,2B_Co,2022-04-26,2022-05-03,FALSE,90,38.9,90,25.6,0.98,0.78
2,Cornu_aspersum,2C_Co,2022-04-26,2022-05-03,FALSE,64,123.6,73,151.4,0.85,0.75
2,Cornu_aspersum,2D_Co,2022-04-26,2022-05-03,FALSE,90,49.6,75,107.6,0.72,0.71
2,Cornu_aspersum,2E_Co,2022-04-26,2022-05-03,FALSE,90,103.7,90,86.5,0.85,0.6
2,Cornu_aspersum,2F_Co,2022-04-26,2022-05-03,FALSE,72,113,57,92.6,0.55,0.24
2,Cornu_aspersum,2G_Co,2022-04-26,2022-05-03,FALSE,36,100.6,59,99.9,0.74,0.45
2,Cornu_aspersum,2H_Co,2022-04-26,2022-05-03,FALSE,90,37.1,50,87.1,0.57,0.02
2,Cornu_aspersum,2I_Co,2022-04-26,2022-05-03,FALSE,80,76.7,66,95.6,0.36,0.37
2,Cornu_aspersum,2J_Co,2022-04-26,2022-05-03,FALSE,65,88.1,90,63.4,0.47,0.65
2,Cornu_aspersum,2K_Co,2022-04-26,2022-05-03,FALSE,90,26.4,90,46.3,0.47,0.52
2,Cornu_aspersum,2L_Co,2022-04-26,2022-05-03,FALSE,61,94,90,38,0.53,0.84
2,Cornu_aspersum,2M_Co,2022-04-26,2022-05-03,FALSE,46,82.7,90,94.9,0.34,0.29
2,Cornu_aspersum,2N_Co,2022-04-26,2022-05-03,FALSE,81,84.8,90,102.3,0.47,0.55
2,Cornu_aspersum,2O_Co,2022-04-26,2022-05-03,FALSE,56,85.8,83,94.5,0.3,0.53
2,Cornu_aspersum,2P_Co,2022-04-26,2022-05-03,FALSE,68,78.2,90,43,0.57,0.66
2,Cornu_aspersum,2Q_Co,2022-04-26,2022-05-03,FALSE,90,51.6,90,63.2,0.57,0.2
2,Cornu_aspersum,2R_Co,2022-04-26,2022-05-03,FALSE,84,107.6,67,110.7,0.66,0.2
2,Cornu_aspersum,2S_Co,2022-04-26,2022-05-03,FALSE,90,81.6,90,49.3,0.02,0.14
2,Cornu_aspersum,2T_Co,2022-04-26,2022-05-03,FALSE,72,124.7,90,76.6,0.67,0.58
3,Cornu_aspersum,3A_Co,2022-04-27,2022-05-04,FALSE,59,102.5,90,80.2,0.79,0.9
3,Cornu_aspersum,3B_Co,2022-04-27,2022-05-04,FALSE,90,16.8,90,11.6,0.59,0.62
3,Cornu_aspersum,3C_Co,2022-04-27,2022-05-04,FALSE,90,39.5,90,30.4,0.08,0.47
3,Cornu_aspersum,3D_Co,2022-04-27,2022-05-04,FALSE,46,90,90,91,0.1,0.34
3,Cornu_aspersum,3E_Co,2022-04-27,2022-05-04,FALSE,75,89.9,72,81.5,0.44,0.61
3,Cornu_aspersum,3F_Co,2022-04-27,2022-05-04,FALSE,69,112,60,86.8,0.67,0.86
3,Cornu_aspersum,3G_Co,2022-04-27,2022-05-04,FALSE,68,80.6,82,92.7,0.52,0.75
3,Cornu_aspersum,3H_Co,2022-04-27,2022-05-04,FALSE,90,96.6,44,108.3,0.68,0.67
3,Cornu_aspersum,3I_Co,2022-04-27,2022-05-04,FALSE,70,100.9,90,40.4,0.74,0.69
3,Cornu_aspersum,3J_Co,2022-04-27,2022-05-04,FALSE,32,78.4,90,92,0.72,0.65
3,Cornu_aspersum,3K_Co,2022-04-27,2022-05-04,FALSE,90,104,90,98.1,0.82,0.82
3,Cornu_aspersum,3L_Co,2022-04-27,2022-05-04,FALSE,60,105.4,56,101.7,0.61,0.54
3,Cornu_aspersum,3M_Co,2022-04-27,2022-05-04,FALSE,57,95,69,100.2,0.14,0.79
3,Cornu_aspersum,3N_Co,2022-04-27,2022-05-04,FALSE,90,56.3,58,87.7,0.91,0.97
3,Cornu_aspersum,3O_Co,2022-04-27,2022-05-04,FALSE,90,73,90,71.4,1.14,1.4
3,Cornu_aspersum,3P_Co,2022-04-27,2022-05-04,FALSE,61,95.1,56,123.6,0.67,0.49
3,Cornu_aspersum,3Q_Co,2022-04-27,2022-05-04,FALSE,65,108.2,79,110.3,0.59,0.6
3,Cornu_aspersum,3R_Co,2022-04-27,2022-05-04,FALSE,78,100.4,90,74,1.29,0.85
3,Cepaea_hortensis,3A_Ce,2022-04-27,2022-05-04,FALSE,90,74.2,68,81.5,0.06,0.09
3,Cepaea_hortensis,3B_Ce,2022-04-27,2022-05-04,FALSE,90,89.2,90,11.7,0.22,0.17
3,Cepaea_hortensis,3C_Ce,2022-04-27,2022-05-04,FALSE,56,86.3,90,72.1,0,0.11
3,Cepaea_hortensis,3D_Ce,2022-04-27,2022-05-04,FALSE,90,97.1,89,106.9,0.12,0.1
3,Cepaea_hortensis,3E_Ce,2022-04-27,2022-05-04,FALSE,64,80.9,60,100,0.14,0.16
3,Cepaea_hortensis,3F_Ce,2022-04-27,2022-05-04,FALSE,67,82.5,90,70.3,0.09,0.14
3,Cepaea_hortensis,3G_Ce,2022-04-27,2022-05-04,FALSE,72,111.8,53,79.6,0.2,0.16
3,Cepaea_hortensis,3H_Ce,2022-04-27,2022-05-04,FALSE,90,99.7,68,84.8,0.08,0.18
3,Cepaea_hortensis,3I_Ce,2022-04-27,2022-05-04,FALSE,71,90.5,90,64.4,0.11,0.1
3,Cepaea_hortensis,3J_Ce,2022-04-27,2022-05-04,FALSE,90,74.8,90,31.9,0.17,0.08
3,Cepaea_hortensis,3K_Ce,2022-04-27,2022-05-04,FALSE,90,104.7,49,78.7,0.16,0.08
3,Cepaea_hortensis,3L_Ce,2022-04-27,2022-05-04,FALSE,90,57.4,90,65.1,0.17,0.01
3,Cepaea_hortensis,3M_Ce,2022-04-27,2022-05-04,FALSE,NA,NA,90,31,0.02,0
3,Cepaea_hortensis,3N_Ce,2022-04-27,2022-05-04,FALSE,90,111.2,90,38.2,0.14,0.11
3,Cepaea_hortensis,3O_Ce,2022-04-27,2022-05-04,FALSE,74,88,90,43.5,0.1,0.11
4,Cornu_aspersum,4A_Co,2022-04-25,2022-05-02,FALSE,90,54,90,58.4,0.44,0.56
4,Cornu_aspersum,4B_Co,2022-04-25,2022-05-02,FALSE,90,82.2,90,64.2,0.63,0.72
4,Cornu_aspersum,4C_Co,2022-04-25,2022-05-02,FALSE,54,85.5,90,85.8,0.23,0.55
4,Cornu_aspersum,4D_Co,2022-04-25,2022-05-02,FALSE,63,70.9,57,112.1,0.18,0.59
4,Cornu_aspersum,4E_Co,2022-04-25,2022-05-02,FALSE,89,140.5,90,112.9,0.34,0.52
4,Cornu_aspersum,4F_Co,2022-04-25,2022-05-02,FALSE,90,76.6,90,46.2,0.78,0.25
4,Cornu_aspersum,4G_Co,2022-04-25,2022-05-02,FALSE,90,180.4,81,100.5,0.49,0.55
4,Cornu_aspersum,4H_Co,2022-04-25,2022-05-02,FALSE,83,190.1,90,84.8,0.45,0.63
4,Cornu_aspersum,4I_Co,2022-04-25,2022-05-02,FALSE,90,39.4,NA,NA,0.5,0.72
4,Cornu_aspersum,4J_Co,2022-04-25,2022-05-02,FALSE,90,61.9,90,154.1,0.32,0.74
4,Cornu_aspersum,4K_Co,2022-04-25,2022-05-02,FALSE,74,99.2,57,85.2,0.46,0.18
